Date,Time,Buy/Sell Call,open,high,low,close
2022-10-06,09:45:00,Buy Call at 86.45,86.45,99.5,82.85,95.45
2022-10-06,10:10:00,Buy Call at 76.95,76.95,82.4,71.85,79.55
2022-10-06,10:20:00,Buy Call at 78.2,78.2,89.15,77.3,86.4
2022-10-06,10:30:00,Buy Call at 74.25,74.25,78.35,73.5,76.75
2022-10-06,10:35:00,Buy Call at 76.65,76.65,79.95,69.7,75.8
2022-10-06,10:40:00,Buy Call at 75.95,75.95,76.8,71.35,74.75
2022-10-06,10:45:00,Buy Call at 75.0,75.0,77.6,72.45,75.6
2022-10-06,11:10:00,Buy Call at 70.5,70.5,78.0,68.25,77.5
2022-10-06,11:15:00,Buy Call at 77.6,77.6,97.0,77.6,97.0
2022-10-06,11:25:00,Buy Call at 109.45,109.45,109.45,98.05,100.75
2022-10-06,12:00:00,Buy Call at 102.6,102.6,104.15,93.15,99.4
2022-10-06,12:05:00,Buy Call at 99.25,99.25,99.85,93.8,95.65
2022-10-06,12:25:00,Buy Call at 86.0,86.0,88.15,80.9,87.65
2022-10-06,12:35:00,Buy Call at 81.45,81.45,96.25,79.6,88.0
2022-10-06,12:45:00,Buy Call at 80.25,80.25,95.5,78.8,94.3
2022-10-06,12:50:00,Buy Call at 94.6,94.6,101.8,92.5,94.0
2022-10-06,12:55:00,Buy Call at 94.1,94.1,99.0,90.6,91.75
2022-10-06,13:00:00,Buy Call at 91.6,91.6,97.2,85.35,89.6
2022-10-06,13:10:00,Buy Call at 83.05,83.05,92.0,83.05,89.15
2022-10-06,13:15:00,Buy Call at 87.75,87.75,95.0,87.1,94.65
2022-10-06,14:00:00,Buy Call at 66.7,66.7,71.7,58.55,71.7
