Date,Time,Buy/Sell Call,open,high,low,close,Stop Loss,Target,Stop Loss 2%,Target 2%,Stop Loss 5%,Target 5%,Stop Loss 7%,Target 7%,Stop Loss 10%,Target 10%
2022-10-06,09:45:00,Buy Call at 86.45,86.45,99.5,82.85,95.45,0.0,0.0,84.721,88.179,82.1275,90.77250000000001,80.3985,92.50150000000001,77.805,95.09500000000001
2022-10-06,10:10:00,Buy Call at 76.95,76.95,82.4,71.85,79.55,0.0,0.0,75.411,78.489,73.1025,80.7975,71.5635,82.3365,69.25500000000001,84.64500000000001
2022-10-06,10:20:00,Buy Call at 78.2,78.2,89.15,77.3,86.4,0.0,0.0,76.636,79.76400000000001,74.29,82.11,72.726,83.674,70.38000000000001,86.02000000000001
2022-10-06,10:30:00,Buy Call at 74.25,74.25,78.35,73.5,76.75,0.0,0.0,72.765,75.735,70.5375,77.9625,69.0525,79.4475,66.825,81.67500000000001
2022-10-06,10:35:00,Buy Call at 76.65,76.65,79.95,69.7,75.8,0.0,0.0,75.117,78.183,72.8175,80.48250000000002,71.2845,82.01550000000002,68.98500000000001,84.31500000000001
2022-10-06,10:40:00,Buy Call at 75.95,75.95,76.8,71.35,74.75,0.0,0.0,74.431,77.46900000000001,72.1525,79.7475,70.6335,81.26650000000001,68.355,83.54500000000002
2022-10-06,10:45:00,Buy Call at 75.0,75.0,77.6,72.45,75.6,0.0,0.0,73.5,76.5,71.25,78.75,69.75,80.25,67.5,82.5
2022-10-06,11:10:00,Buy Call at 70.5,70.5,78.0,68.25,77.5,0.0,0.0,69.09,71.91,66.975,74.025,65.565,75.435,63.45,77.55000000000001
2022-10-06,11:15:00,Buy Call at 77.6,77.6,97.0,77.6,97.0,0.0,0.0,76.04799999999999,79.152,73.71999999999998,81.48,72.16799999999999,83.032,69.84,85.36
2022-10-06,11:25:00,Buy Call at 109.45,109.45,109.45,98.05,100.75,0.0,0.0,107.261,111.63900000000001,103.97749999999999,114.92250000000001,101.7885,117.1115,98.50500000000001,120.39500000000001
2022-10-06,12:00:00,Buy Call at 102.6,102.6,104.15,93.15,99.4,0.0,0.0,100.54799999999999,104.652,97.46999999999998,107.73,95.41799999999999,109.782,92.34,112.86
2022-10-06,12:05:00,Buy Call at 99.25,99.25,99.85,93.8,95.65,0.0,0.0,97.265,101.235,94.2875,104.2125,92.3025,106.1975,89.325,109.17500000000001
2022-10-06,12:25:00,Buy Call at 86.0,86.0,88.15,80.9,87.65,0.0,0.0,84.28,87.72,81.7,90.3,79.97999999999999,92.02000000000001,77.4,94.60000000000001
2022-10-06,12:35:00,Buy Call at 81.45,81.45,96.25,79.6,88.0,0.0,0.0,79.821,83.07900000000001,77.3775,85.52250000000001,75.74849999999999,87.15150000000001,73.305,89.59500000000001
2022-10-06,12:45:00,Buy Call at 80.25,80.25,95.5,78.8,94.3,0.0,0.0,78.645,81.855,76.2375,84.2625,74.6325,85.8675,72.22500000000001,88.275
2022-10-06,12:50:00,Buy Call at 94.6,94.6,101.8,92.5,94.0,0.0,0.0,92.708,96.49199999999999,89.86999999999999,99.33,87.978,101.222,85.14,104.06
2022-10-06,12:55:00,Buy Call at 94.1,94.1,99.0,90.6,91.75,0.0,0.0,92.21799999999999,95.982,89.395,98.80499999999999,87.51299999999999,100.687,84.69,103.51
2022-10-06,13:00:00,Buy Call at 91.6,91.6,97.2,85.35,89.6,0.0,0.0,89.76799999999999,93.432,87.02,96.17999999999999,85.18799999999999,98.012,82.44,100.76
2022-10-06,13:10:00,Buy Call at 83.05,83.05,92.0,83.05,89.15,0.0,0.0,81.389,84.711,78.8975,87.2025,77.23649999999999,88.8635,74.745,91.355
2022-10-06,13:15:00,Buy Call at 87.75,87.75,95.0,87.1,94.65,0.0,0.0,85.995,89.505,83.3625,92.1375,81.60749999999999,93.89250000000001,78.97500000000001,96.525
2022-10-06,14:00:00,Buy Call at 66.7,66.7,71.7,58.55,71.7,0.0,0.0,65.366,68.034,63.365,70.03500000000001,62.031,71.36900000000001,60.03,73.37
