Rounded-off Values,Short Put Entry Point,Time Slot
17100.0,Enter the short put trade at - 17140.0,09:25:00
17100.0,Enter the short put trade at - 17113.15,09:30:00
17100.0,Enter the short put trade at - 17085.2,09:35:00
17100.0,Enter the short put trade at - 17096.65,09:40:00
17100.0,Enter the short put trade at - 17101.55,09:50:00
17100.0,Enter the short put trade at - 17080.0,09:55:00
17100.0,Enter the short put trade at - 17061.1,10:00:00
17100.0,Enter the short put trade at - 17066.0,10:05:00
17100.0,Enter the short put trade at - 17068.15,10:15:00
17000.0,Enter the short put trade at - 17010.0,10:25:00
17100.0,Enter the short put trade at - 17067.95,10:50:00
17100.0,Enter the short put trade at - 17064.0,10:55:00
17000.0,Enter the short put trade at - 16999.0,11:00:00
17000.0,Enter the short put trade at - 16995.1,11:05:00
17100.0,Enter the short put trade at - 17140.75,11:45:00
17100.0,Enter the short put trade at - 17134.5,11:50:00
17100.0,Enter the short put trade at - 17084.4,11:55:00
17100.0,Enter the short put trade at - 17110.25,12:10:00
17100.0,Enter the short put trade at - 17106.4,12:15:00
17000.0,Enter the short put trade at - 17048.2,12:20:00
17100.0,Enter the short put trade at - 17090.0,12:30:00
17100.0,Enter the short put trade at - 17091.0,12:40:00
17100.0,Enter the short put trade at - 17108.0,13:05:00
17100.0,Enter the short put trade at - 17120.0,13:20:00
17100.0,Enter the short put trade at - 17112.6,13:25:00
17100.0,Enter the short put trade at - 17094.55,13:30:00
17100.0,Enter the short put trade at - 17086.4,13:35:00
17100.0,Enter the short put trade at - 17091.0,13:40:00
17100.0,Enter the short put trade at - 17075.2,13:45:00
17100.0,Enter the short put trade at - 17064.0,13:50:00
17100.0,Enter the short put trade at - 17056.5,13:55:00
17000.0,Enter the short put trade at - 17047.9,14:05:00
17000.0,Enter the short put trade at - 17045.0,14:10:00
17000.0,Enter the short put trade at - 17043.45,14:15:00
17000.0,Enter the short put trade at - 17036.0,14:20:00
17000.0,Enter the short put trade at - 17034.05,14:25:00
17000.0,Enter the short put trade at - 17021.0,14:30:00
17000.0,Enter the short put trade at - 17025.0,14:35:00
17000.0,Enter the short put trade at - 17002.7,14:40:00
16900.0,Enter the short put trade at - 16933.7,14:45:00
17000.0,Enter the short put trade at - 16982.0,14:50:00
17000.0,Enter the short put trade at - 17005.75,15:20:00
17000.0,Enter the short put trade at - 16997.6,15:25:00
17000.0,Enter the short put trade at - 16997.6,15:30:00
