Date,Time,Buy/Sell Put,open,high,low,close,Stop Loss,Target,Stop Loss 2%,Target 2%,Stop Loss 5%,Target 5%,Stop Loss 7%,Target 7%,Stop Loss 10%,Target 10%
2022-10-06,09:25:00,Buy Put at 158.8,158.8,186.7,153.7,186.6,0.0,0.0,155.624,161.97600000000003,150.86,166.74,147.684,169.91600000000003,142.92000000000002,174.68000000000004
2022-10-06,09:30:00,Buy Put at 187.8,187.8,202.3,176.25,198.5,0.0,0.0,184.044,191.556,178.41,197.19000000000003,174.654,200.94600000000003,169.02,206.58000000000004
2022-10-06,09:35:00,Buy Put at 199.5,199.5,217.7,192.0,217.5,0.0,0.0,195.51,203.49,189.52499999999998,209.47500000000002,185.535,213.465,179.55,219.45000000000002
2022-10-06,09:40:00,Buy Put at 218.9,218.9,223.15,195.3,213.0,0.0,0.0,214.522,223.27800000000002,207.95499999999998,229.84500000000003,203.577,234.223,197.01000000000002,240.79000000000002
2022-10-06,09:50:00,Buy Put at 194.1,194.1,205.3,189.6,204.35,0.0,0.0,190.218,197.982,184.39499999999998,203.805,180.51299999999998,207.687,174.69,213.51000000000002
2022-10-06,09:55:00,Buy Put at 204.75,204.75,218.6,204.75,217.2,0.0,0.0,200.655,208.845,194.5125,214.9875,190.4175,219.0825,184.275,225.22500000000002
2022-10-06,10:00:00,Buy Put at 218.05,218.05,232.85,209.4,228.5,0.0,0.0,213.68900000000002,222.411,207.1475,228.95250000000001,202.7865,233.31350000000003,196.245,239.85500000000002
2022-10-06,10:05:00,Buy Put at 229.2,229.2,232.4,220.0,226.95,0.0,0.0,224.61599999999999,233.784,217.73999999999998,240.66,213.15599999999998,245.244,206.28,252.12
2022-10-06,10:15:00,Buy Put at 218.15,218.15,230.5,215.35,221.25,0.0,0.0,213.787,222.513,207.2425,229.0575,202.87949999999998,233.42050000000003,196.335,239.96500000000003
2022-10-06,10:50:00,Buy Put at 220.1,220.1,227.55,219.0,221.55,0.0,0.0,215.69799999999998,224.502,209.095,231.105,204.69299999999998,235.507,198.09,242.11
2022-10-06,10:55:00,Buy Put at 221.55,221.55,224.95,212.8,224.5,0.0,0.0,217.119,225.98100000000002,210.4725,232.62750000000003,206.04149999999998,237.05850000000004,199.395,243.70500000000004
2022-10-06,11:45:00,Buy Put at 159.65,159.65,175.6,157.1,173.6,0.0,0.0,156.457,162.84300000000002,151.6675,167.63250000000002,148.4745,170.8255,143.685,175.615
2022-10-06,11:50:00,Buy Put at 173.8,173.8,180.85,172.45,176.75,0.0,0.0,170.324,177.276,165.11,182.49,161.634,185.96600000000004,156.42000000000002,191.18000000000004
2022-10-06,11:55:00,Buy Put at 176.1,176.1,177.4,167.55,171.4,0.0,0.0,172.578,179.62199999999999,167.295,184.905,163.773,188.427,158.49,193.71
2022-10-06,12:10:00,Buy Put at 177.45,177.45,186.95,177.15,184.65,0.0,0.0,173.90099999999998,180.999,168.5775,186.3225,165.02849999999998,189.8715,159.70499999999998,195.195
2022-10-06,12:15:00,Buy Put at 184.45,184.45,199.0,184.45,189.8,0.0,0.0,180.761,188.13899999999998,175.2275,193.67249999999999,171.53849999999997,197.3615,166.005,202.895
2022-10-06,12:30:00,Buy Put at 186.0,186.0,204.0,186.0,193.45,0.0,0.0,182.28,189.72,176.7,195.3,172.98,199.02,167.4,204.60000000000002
2022-10-06,12:40:00,Buy Put at 186.0,186.0,207.5,184.95,194.4,0.0,0.0,182.28,189.72,176.7,195.3,172.98,199.02,167.4,204.60000000000002
2022-10-06,13:05:00,Buy Put at 181.3,181.3,191.35,176.0,190.35,0.0,0.0,177.674,184.92600000000002,172.235,190.365,168.609,193.991,163.17000000000002,199.43000000000004
2022-10-06,13:20:00,Buy Put at 172.8,172.8,182.75,167.65,180.6,0.0,0.0,169.344,176.25600000000003,164.16,181.44000000000003,160.704,184.89600000000002,155.52,190.08000000000004
2022-10-06,13:25:00,Buy Put at 180.8,180.8,186.05,174.15,183.15,0.0,0.0,177.184,184.41600000000003,171.76,189.84000000000003,168.144,193.45600000000002,162.72000000000003,198.88000000000002
2022-10-06,13:30:00,Buy Put at 183.0,183.0,197.8,183.0,195.9,0.0,0.0,179.34,186.66,173.85,192.15,170.19,195.81,164.70000000000002,201.3
2022-10-06,13:35:00,Buy Put at 195.6,195.6,201.8,192.5,200.9,0.0,0.0,191.688,199.512,185.82,205.38,181.908,209.292,176.04,215.16000000000003
2022-10-06,13:40:00,Buy Put at 201.95,201.95,202.2,189.7,193.3,0.0,0.0,197.91099999999997,205.989,191.8525,212.04749999999999,187.81349999999998,216.0865,181.755,222.145
2022-10-06,13:45:00,Buy Put at 193.2,193.2,210.35,191.45,210.35,0.0,0.0,189.33599999999998,197.064,183.54,202.85999999999999,179.676,206.724,173.88,212.52
2022-10-06,13:50:00,Buy Put at 213.8,213.8,218.35,206.9,216.8,0.0,0.0,209.524,218.07600000000002,203.11,224.49,198.834,228.76600000000002,192.42000000000002,235.18000000000004
2022-10-06,13:55:00,Buy Put at 216.1,216.1,226.55,212.5,223.9,0.0,0.0,211.778,220.422,205.295,226.905,200.97299999999998,231.227,194.49,237.71
