,Date,Time,Open,High,Low,Close,trade,Trade Type,Strike,Future ema5,Future Close
0,2022-01-03,09:20:00,122.1,134.9,119.05,134.85,Buy Put,Buy Put,17500.0,17493.5,17483.6
1,2022-01-03,09:25:00,78.2,87.65,78.2,86.3,Buy Call,Buy Call,17500.0,17498.923684210527,17504.95
2,2022-01-03,09:30:00,123.35,133.8,118.7,127.35,Buy Put,Buy Put,17500.0,17497.106923076924,17494.55
3,2022-01-03,09:35:00,83.6,86.95,82.8,86.75,Buy Call,Buy Call,17500.0,17501.998815165876,17509.85
4,2022-01-03,09:40:00,118.5,124.85,118.25,124.05,Buy Put,Buy Put,17500.0,17500.30007518797,17497.35
5,2022-01-03,09:45:00,81.9,89.95,81.05,89.6,Buy Call,Buy Call,17500.0,17506.97399222924,17519.15
6,2022-01-03,09:50:00,89.95,94.6,88.3,93.65,Buy Call,Buy Call,17500.0,17513.556153846155,17525.95
7,2022-01-03,09:55:00,93.75,94.2,89.3,93.85,Buy Call,Buy Call,17500.0,17518.191341088102,17527.1
8,2022-01-03,10:00:00,94.0,94.75,90.05,93.8,Buy Call,Buy Call,17500.0,17521.382907367515,17527.6
9,2022-01-03,10:05:00,93.8,93.85,90.35,93.1,Buy Call,Buy Call,17500.0,17523.698711300465,17528.25
10,2022-01-03,10:10:00,93.25,97.85,92.0,96.3,Buy Call,Buy Call,17500.0,17526.31933895268,17531.5
11,2022-01-03,10:15:00,104.6,109.9,104.5,108.5,Buy Put,Buy Put,17500.0,17525.207178095632,17523.0
12,2022-01-03,10:20:00,92.85,104.1,92.25,103.4,Buy Call,Buy Call,17500.0,17531.610051693195,17544.35
13,2022-01-03,10:25:00,104.0,107.55,102.75,104.1,Buy Call,Buy Call,17500.0,17537.03575825507,17547.85
14,2022-01-03,10:35:00,106.9,107.75,102.1,102.15,Buy Call,Buy Call,17500.0,17543.47798671258,17544.6
15,2022-01-03,10:40:00,102.25,105.35,102.05,104.35,Buy Call,Buy Call,17500.0,17545.63678520335,17549.95
16,2022-01-03,10:45:00,103.9,105.55,102.3,103.4,Buy Call,Buy Call,17500.0,17546.608295043512,17548.55
